index,L,R,P_high,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19
33,1.48 ,0.26 ,15.00 ,0.000987230 ,0.000986330 ,0.000985390 ,0.001296640 ,0.097618580 ,0.237898310 ,0.292750930 ,0.314579250 ,0.323558080 ,0.327299930 ,0.328866490 ,0.329523360 ,0.329798940 ,0.329914580 ,0.329963110 ,0.329983480 ,0.329992040 ,0.329995650 ,0.329997170 
828,2.10 ,0.27 ,13.00 ,0.000987080 ,0.000986080 ,0.000985040 ,0.000984010 ,0.000982980 ,0.000981930 ,0.000981470 ,0.005496630 ,0.160364540 ,0.262065740 ,0.301935100 ,0.318211360 ,0.325015050 ,0.327885290 ,0.329100350 ,0.329615460 ,0.329834030 ,0.329926830 ,0.329966280 
50,2.40 ,0.27 ,15.00 ,0.000988970 ,0.000988100 ,0.000987190 ,0.000986280 ,0.000985370 ,0.000984450 ,0.000985360 ,0.017833570 ,0.192506660 ,0.275415400 ,0.307602880 ,0.320676960 ,0.326097220 ,0.328361510 ,0.329310060 ,0.329707880 ,0.329874850 ,0.329944970 ,0.329974440 
234,2.01 ,0.11 ,10.00 ,0.000983840 ,0.000982580 ,0.000981300 ,0.000980040 ,0.000978780 ,0.000977520 ,0.000976240 ,0.000974940 ,0.000973750 ,0.001333380 ,0.066510650 ,0.216647780 ,0.282474740 ,0.309653150 ,0.321201830 ,0.326177810 ,0.328334050 ,0.329270800 ,0.329678350 
262,2.50 ,0.18 ,20.00 ,0.000991400 ,0.000990700 ,0.000989980 ,0.000989260 ,0.000989860 ,0.066039670 ,0.230100910 ,0.291028580 ,0.314314260 ,0.323612920 ,0.327388130 ,0.328929750 ,0.329560500 ,0.329818750 ,0.329924510 ,0.329967840 ,0.329985590 ,0.329992870 ,0.329995870 
230,2.40 ,0.23 ,14.00 ,0.000988360 ,0.000987440 ,0.000986480 ,0.000985530 ,0.000984570 ,0.000983600 ,0.000982620 ,0.001039460 ,0.064902340 ,0.222418900 ,0.286504780 ,0.311945250 ,0.322423290 ,0.326805900 ,0.328649580 ,0.329426900 ,0.329754980 ,0.329893550 ,0.329952120 
274,2.21 ,0.11 ,14.00 ,0.000988030 ,0.000987090 ,0.000986120 ,0.000985160 ,0.000984190 ,0.000983200 ,0.000987490 ,0.026925480 ,0.199534860 ,0.277731450 ,0.308411030 ,0.320963860 ,0.326197850 ,0.328395660 ,0.329320980 ,0.329711020 ,0.329875530 ,0.329944970 ,0.329974300 
830,2.11 ,0.14 ,10.00 ,0.000984150 ,0.000982910 ,0.000981640 ,0.000980390 ,0.000979150 ,0.000977910 ,0.000976640 ,0.000975360 ,0.000974050 ,0.000976870 ,0.005182840 ,0.138339750 ,0.250194290 ,0.296183400 ,0.315438630 ,0.323684590 ,0.327250350 ,0.328798520 ,0.329472040 
644,2.20 ,0.22 ,11.00 ,0.000985520 ,0.000984380 ,0.000983210 ,0.000982050 ,0.000980900 ,0.000979750 ,0.000978570 ,0.000977370 ,0.000976320 ,0.001578990 ,0.088675610 ,0.229525830 ,0.288160170 ,0.312210470 ,0.322365910 ,0.326709640 ,0.328577090 ,0.329381750 ,0.329728920 
86,1.00 ,0.12 ,8.00 ,0.000975180 ,0.000973570 ,0.000971890 ,0.000970240 ,0.000995260 ,0.007008790 ,0.130203320 ,0.243356060 ,0.292292100 ,0.313367110 ,0.322615690 ,0.326711230 ,0.328532110 ,0.329343350 ,0.329705260 ,0.329866900 ,0.329939180 ,0.329971530 ,0.329986030 
428,2.08 ,0.18 ,11.00 ,0.000985200 ,0.000984050 ,0.000982860 ,0.000981690 ,0.000980530 ,0.000979360 ,0.000978160 ,0.000976950 ,0.001007350 ,0.027449490 ,0.192566780 ,0.273379810 ,0.306081750 ,0.319769000 ,0.325599850 ,0.328101410 ,0.329177770 ,0.329641570 ,0.329841640 
